name,threads,run_date,total_time_process,total_time_cpu,comment,success,datadir,db,runno
h01,48,29/07/2023 13:59:31,7.194171025999822,81.674055998,,True,../fanniemae-benchmark/sf10,polars,1
h02,48,29/07/2023 13:59:32,1.3032166930006497,9.117819272999995,,True,../fanniemae-benchmark/sf10,polars,1
h03,48,29/07/2023 13:59:39,6.908161960000143,54.715657705,,True,../fanniemae-benchmark/sf10,polars,1
h04,48,29/07/2023 13:59:45,5.992046004001168,53.529279121,,True,../fanniemae-benchmark/sf10,polars,1
h05,48,29/07/2023 13:59:52,6.457868104000227,55.092589387000004,,True,../fanniemae-benchmark/sf10,polars,1
h06,48,29/07/2023 13:59:57,5.030159539001033,41.204259836000006,,True,../fanniemae-benchmark/sf10,polars,1
h07,48,29/07/2023 14:00:04,7.625456697000118,58.407178981000015,,True,../fanniemae-benchmark/sf10,polars,1
h08,48,29/07/2023 14:00:11,6.705645359999835,55.92939675399998,,True,../fanniemae-benchmark/sf10,polars,1
h09,48,29/07/2023 14:00:22,10.706388626998887,132.02590225599994,,True,../fanniemae-benchmark/sf10,polars,1
h10,48,29/07/2023 14:00:29,6.835877145998893,60.204655258,,True,../fanniemae-benchmark/sf10,polars,1
h11,48,29/07/2023 14:00:30,1.210153325999272,10.84612258499999,,True,../fanniemae-benchmark/sf10,polars,1
h12,48,29/07/2023 14:00:37,6.905618384000263,55.421581662999984,,True,../fanniemae-benchmark/sf10,polars,1
h13,48,29/07/2023 14:00:41,4.363162900999669,38.532052182999905,,True,../fanniemae-benchmark/sf10,polars,1
h14,48,29/07/2023 14:00:46,5.357631606000723,42.53649397800007,,True,../fanniemae-benchmark/sf10,polars,1
h15,48,29/07/2023 14:00:52,5.089136288999725,42.12709785599998,,True,../fanniemae-benchmark/sf10,polars,1
h16,48,29/07/2023 14:00:53,1.460059954000826,11.855817484999989,,True,../fanniemae-benchmark/sf10,polars,1
h17,48,29/07/2023 14:00:59,5.870666693999738,69.721070511,,True,../fanniemae-benchmark/sf10,polars,1
h18,48,29/07/2023 14:01:06,7.490186295999592,68.676826817,,True,../fanniemae-benchmark/sf10,polars,1
h19,48,29/07/2023 14:01:12,5.966891685999144,47.12651178700003,,True,../fanniemae-benchmark/sf10,polars,1
h20,48,29/07/2023 14:01:19,6.3744874889998755,58.01019383100004,,True,../fanniemae-benchmark/sf10,polars,1
h21,48,29/07/2023 14:01:31,12.08466418199896,191.24539122800002,,True,../fanniemae-benchmark/sf10,polars,1
h22,48,29/07/2023 14:01:33,1.9057890410003893,17.21369212500008,,True,../fanniemae-benchmark/sf10,polars,1
h01,48,29/07/2023 14:01:40,7.140825413998755,89.595975942,,True,../fanniemae-benchmark/sf10,polars,2
h02,48,29/07/2023 14:01:41,1.3015584380009386,10.449420989999908,,True,../fanniemae-benchmark/sf10,polars,2
h03,48,29/07/2023 14:01:48,6.97672448099911,56.72713460099999,,True,../fanniemae-benchmark/sf10,polars,2
h04,48,29/07/2023 14:01:54,6.251808279001125,56.12303647400017,,True,../fanniemae-benchmark/sf10,polars,2
h05,48,29/07/2023 14:02:01,6.712477392000437,57.4363066599999,,True,../fanniemae-benchmark/sf10,polars,2
h06,48,29/07/2023 14:02:06,5.190992361998724,42.16716295800006,,True,../fanniemae-benchmark/sf10,polars,2
h07,48,29/07/2023 14:02:14,7.793702479999411,59.01149274499994,,True,../fanniemae-benchmark/sf10,polars,2
h08,48,29/07/2023 14:02:21,6.769111830999464,56.810150899000064,,True,../fanniemae-benchmark/sf10,polars,2
h09,48,29/07/2023 14:02:32,10.968491255998742,133.29252744500013,,True,../fanniemae-benchmark/sf10,polars,2
h10,48,29/07/2023 14:02:39,6.809890366999753,60.996873568999945,,True,../fanniemae-benchmark/sf10,polars,2
h11,48,29/07/2023 14:02:40,1.2148598870007845,11.171692972000073,,True,../fanniemae-benchmark/sf10,polars,2
h12,48,29/07/2023 14:02:47,6.939147191000302,55.67706179299989,,True,../fanniemae-benchmark/sf10,polars,2
h13,48,29/07/2023 14:02:51,4.399383009000303,38.70488089499986,,True,../fanniemae-benchmark/sf10,polars,2
h14,48,29/07/2023 14:02:57,5.3784653110014915,43.18859899300014,,True,../fanniemae-benchmark/sf10,polars,2
h15,48,29/07/2023 14:03:02,5.079648286999145,42.1454834839999,,True,../fanniemae-benchmark/sf10,polars,2
h16,48,29/07/2023 14:03:03,1.576952725999945,11.83322761699992,,True,../fanniemae-benchmark/sf10,polars,2
h17,48,29/07/2023 14:03:09,6.007528740001362,70.93013315200005,,True,../fanniemae-benchmark/sf10,polars,2
h18,48,29/07/2023 14:03:17,7.597196262999205,68.69600520899985,,True,../fanniemae-benchmark/sf10,polars,2
h19,48,29/07/2023 14:03:23,5.967576404000283,47.27556566599969,,True,../fanniemae-benchmark/sf10,polars,2
h20,48,29/07/2023 14:03:29,6.425425577999704,58.27887429600014,,True,../fanniemae-benchmark/sf10,polars,2
h21,48,29/07/2023 14:03:41,12.121539910000138,192.8337183970002,,True,../fanniemae-benchmark/sf10,polars,2
h22,48,29/07/2023 14:03:43,1.8200681320013246,16.68137862499998,,True,../fanniemae-benchmark/sf10,polars,2
h01,48,29/07/2023 14:03:51,7.420188245001555,91.50670169400018,,True,../fanniemae-benchmark/sf10,polars,3
h02,48,29/07/2023 14:03:52,1.2997695670001121,10.433064237000053,,True,../fanniemae-benchmark/sf10,polars,3
h03,48,29/07/2023 14:03:59,6.994654476000505,56.48446479500035,,True,../fanniemae-benchmark/sf10,polars,3
